composer,composerlast,year,perfs
"Shostakovich, Dmitri",Shostakovich,1937,2
"Bartok, Bela",Bartok,1937,1
"Stravinsky, Igor",Stravinsky,1938,16
"Hindemith, Paul",Hindemith,1938,9
"Prokofieff, Sergei",Prokofieff,1938,8
"Shostakovich, Dmitri",Shostakovich,1938,7
"Bartok, Bela",Bartok,1938,1
"Stravinsky, Igor",Stravinsky,1939,32
"Prokofieff, Sergei",Prokofieff,1939,15
"Shostakovich, Dmitri",Shostakovich,1939,5
"Hindemith, Paul",Hindemith,1939,3
"Bartok, Bela",Bartok,1939,1
"Stravinsky, Igor",Stravinsky,1940,22
"Hindemith, Paul",Hindemith,1940,8
"Prokofieff, Sergei",Prokofieff,1940,8
"Bartok, Bela",Bartok,1940,6
"Shostakovich, Dmitri",Shostakovich,1940,6
"Shostakovich, Dmitri",Shostakovich,1941,19
"Prokofieff, Sergei",Prokofieff,1941,17
"Stravinsky, Igor",Stravinsky,1941,16
"Hindemith, Paul",Hindemith,1941,14
"Bartok, Bela",Bartok,1941,2
"Shostakovich, Dmitri",Shostakovich,1942,28
"Prokofieff, Sergei",Prokofieff,1942,23
"Stravinsky, Igor",Stravinsky,1942,13
"Hindemith, Paul",Hindemith,1942,6
"Bartok, Bela",Bartok,1942,2
"Stravinsky, Igor",Stravinsky,1943,21
"Shostakovich, Dmitri",Shostakovich,1943,19
"Prokofieff, Sergei",Prokofieff,1943,17
"Hindemith, Paul",Hindemith,1943,6
"Bartok, Bela",Bartok,1943,5
"Stravinsky, Igor",Stravinsky,1944,25
"Shostakovich, Dmitri",Shostakovich,1944,23
"Prokofieff, Sergei",Prokofieff,1944,21
"Hindemith, Paul",Hindemith,1944,15
"Bartok, Bela",Bartok,1944,6
"Stravinsky, Igor",Stravinsky,1945,28
"Prokofieff, Sergei",Prokofieff,1945,16
"Shostakovich, Dmitri",Shostakovich,1945,14
"Bartok, Bela",Bartok,1945,8
"Hindemith, Paul",Hindemith,1945,6
"Stravinsky, Igor",Stravinsky,1946,35
"Prokofieff, Sergei",Prokofieff,1946,25
"Shostakovich, Dmitri",Shostakovich,1946,24
"Bartok, Bela",Bartok,1946,10
"Hindemith, Paul",Hindemith,1946,9
